,Attrition_Flag,Age,Gender,Dependent_Count,Education,Marital_Status,Income,Card_Category,Months_On_Book,Total_Relationship_Count,Months_Inactive,Contacts_Count,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
2845,Existing Customer,39.0,F,1,College,Single,Unknown,Blue,36,6,1.0,1.0,22125.0,0,22125.0,0.645,1994.0,57.0,0.727,0.0
2846,Existing Customer,50.0,M,3,Graduate,Married,$120K +,Blue,42,4,5.0,3.0,34516.0,2099,32417.0,0.449,1756.0,35.0,0.25,0.061
2847,Existing Customer,36.0,M,1,Uneducated,Divorced,$120K +,Blue,28,6,3.0,2.0,5260.0,1116,4144.0,0.664,2546.0,62.0,0.879,0.212
2848,Existing Customer,56.0,F,1,Graduate,Married,Less than $40K,Blue,48,6,2.0,2.0,1438.3,0,1438.3,0.706,1336.0,32.0,0.882,0.0
2849,Attrited Customer,44.0,F,4,Graduate,Single,$40K - $60K,Blue,30,3,4.0,4.0,4333.0,0,4333.0,0.46299999999999997,1558.0,40.0,0.5379999999999999,0.0
2850,Existing Customer,45.0,M,4,College,Married,Less than $40K,Blue,32,3,2.0,1.0,6637.0,0,6637.0,0.675,1801.0,48.0,0.6,0.0
2851,Existing Customer,36.0,M,2,Graduate,Single,$120K +,Blue,28,4,3.0,0.0,3174.0,2462,712.0,0.772,3140.0,74.0,0.721,0.7759999999999999
2852,Existing Customer,44.0,F,2,Uneducated,Married,Less than $40K,Blue,36,4,2.0,5.0,4396.0,1489,2907.0,1.258,3942.0,69.0,0.816,0.33899999999999997
2853,Attrited Customer,52.0,M,2,Graduate,Single,$80K - $120K,Blue,48,6,2.0,4.0,34516.0,0,34516.0,0.539,1661.0,40.0,0.6,0.0
2854,Existing Customer,50.0,F,3,Graduate,Married,Less than $40K,Blue,37,3,2.0,4.0,1438.3,0,1438.3,0.868,3637.0,80.0,0.86,0.0
2855,Existing Customer,53.0,F,2,Graduate,Single,Less than $40K,Blue,43,3,3.0,4.0,6853.0,1480,5373.0,0.513,2833.0,70.0,0.556,0.21600000000000005
2856,Existing Customer,36.0,F,0,Unknown,Married,Less than $40K,Blue,24,4,3.0,2.0,2570.0,2230,340.0,0.6859999999999999,1755.0,42.0,0.44799999999999995,0.868
2857,Existing Customer,27.0,F,1,College,Divorced,Less than $40K,Blue,15,5,3.0,2.0,2166.0,890,1276.0,1.024,3563.0,70.0,0.892,0.41100000000000003
2859,Existing Customer,36.0,M,3,Unknown,Single,$60K - $80K,Blue,36,3,1.0,1.0,11684.0,1786,9898.0,0.8059999999999999,2969.0,88.0,0.7959999999999999,0.153
2860,Existing Customer,41.0,M,4,High School,Single,$60K - $80K,Blue,28,6,1.0,4.0,4475.0,0,4475.0,0.706,3367.0,66.0,0.737,0.0
2861,Existing Customer,28.0,M,1,Uneducated,Single,$60K - $80K,Blue,18,6,3.0,2.0,16604.0,1716,14888.0,1.025,2580.0,61.0,0.649,0.10300000000000001
2862,Existing Customer,59.0,M,1,High School,Married,$40K - $60K,Blue,53,6,2.0,5.0,5446.0,1885,3561.0,0.643,1505.0,33.0,0.32,0.34600000000000003
2863,Existing Customer,43.0,M,3,Uneducated,Unknown,$80K - $120K,Blue,31,5,1.0,4.0,28700.0,769,27931.0,0.9009999999999999,3395.0,71.0,0.578,0.027000000000000003
2864,Existing Customer,41.0,M,3,Unknown,Married,$60K - $80K,Blue,30,3,1.0,1.0,2888.0,1676,1212.0,0.534,3798.0,58.0,0.812,0.58
2865,Existing Customer,46.0,M,2,Graduate,Married,$60K - $80K,Blue,34,4,2.0,0.0,9451.0,1280,8171.0,0.6809999999999999,3179.0,79.0,0.975,0.135
2866,Existing Customer,51.0,M,3,Unknown,Married,$80K - $120K,Blue,43,3,4.0,5.0,13933.0,1019,12914.0,0.875,3504.0,62.0,0.7709999999999999,0.073
2867,Existing Customer,44.0,M,1,High School,Married,Less than $40K,Blue,33,5,2.0,2.0,6130.0,808,5322.0,0.747,3411.0,78.0,0.5920000000000001,0.132
2868,Existing Customer,40.0,M,3,Graduate,Married,$60K - $80K,Blue,36,6,2.0,2.0,15008.0,0,15008.0,0.784,3943.0,85.0,0.7709999999999999,0.0
2869,Existing Customer,32.0,M,1,High School,Married,$40K - $60K,Blue,18,4,1.0,4.0,4583.0,1586,2997.0,0.828,2395.0,57.0,0.7809999999999999,0.34600000000000003
2870,Attrited Customer,48.0,M,4,Uneducated,Single,$40K - $60K,Blue,37,1,3.0,4.0,5268.0,2191,3077.0,0.622,2138.0,40.0,0.429,0.41600000000000004
2871,Existing Customer,58.0,M,2,Unknown,Married,$60K - $80K,Blue,51,4,2.0,2.0,14976.0,1463,13513.0,0.635,1599.0,36.0,0.565,0.098
2872,Existing Customer,37.0,F,3,High School,Single,Less than $40K,Blue,25,3,2.0,4.0,2282.0,0,2282.0,0.741,2751.0,68.0,0.659,0.0
2873,Attrited Customer,51.0,M,3,Unknown,Married,$80K - $120K,Blue,36,3,3.0,3.0,5130.0,0,5130.0,0.40700000000000003,1434.0,31.0,0.292,0.0
2874,Existing Customer,43.0,F,3,Unknown,Married,Less than $40K,Blue,31,4,3.0,2.0,5702.0,0,5702.0,0.773,3928.0,75.0,0.7440000000000001,0.0
2875,Existing Customer,41.0,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,3.0,4.0,14480.0,0,14480.0,0.703,1616.0,43.0,0.654,0.0
2876,Existing Customer,51.0,M,3,Graduate,Divorced,$40K - $60K,Blue,41,5,3.0,4.0,7570.0,1388,6182.0,0.909,3849.0,70.0,0.591,0.183
2877,Existing Customer,52.0,M,2,Doctorate,Married,$80K - $120K,Blue,38,4,2.0,2.0,12878.0,1628,11250.0,0.542,1968.0,59.0,0.735,0.126
2878,Existing Customer,61.0,M,2,High School,Single,$60K - $80K,Silver,48,5,2.0,3.0,26218.0,0,26218.0,0.74,3925.0,88.0,0.833,0.0
2879,Existing Customer,49.0,M,3,Post-Graduate,Single,$120K +,Silver,36,6,1.0,5.0,34516.0,1323,33193.0,0.934,3422.0,78.0,0.529,0.038
2880,Existing Customer,36.0,F,3,High School,Single,Unknown,Blue,23,6,3.0,4.0,2804.0,2090,714.0,1.248,2812.0,77.0,1.081,0.745
2881,Existing Customer,35.0,M,1,Graduate,Married,$40K - $60K,Blue,25,5,4.0,4.0,5801.0,1176,4625.0,1.12,2987.0,52.0,0.857,0.203
2882,Existing Customer,63.0,F,0,High School,Married,Less than $40K,Blue,53,5,3.0,2.0,2271.0,1278,993.0,0.375,1550.0,33.0,0.65,0.563
2883,Existing Customer,36.0,F,1,Post-Graduate,Married,Less than $40K,Blue,23,6,3.0,3.0,3107.0,2354,753.0,1.248,2720.0,48.0,1.182,0.758
2884,Existing Customer,33.0,F,4,Graduate,Single,Less than $40K,Blue,22,5,1.0,2.0,2001.0,1217,784.0,0.775,3162.0,99.0,0.7070000000000001,0.608
2885,Existing Customer,33.0,M,1,Graduate,Single,$80K - $120K,Blue,26,4,1.0,0.0,1438.3,0,1438.3,0.865,2557.0,55.0,0.618,0.0
2886,Existing Customer,65.0,M,1,High School,Single,Unknown,Blue,36,4,3.0,5.0,4465.0,703,3762.0,1.026,4044.0,66.0,0.65,0.157
2887,Existing Customer,61.0,M,1,Graduate,Married,$60K - $80K,Blue,55,6,2.0,3.0,3264.0,1348,1916.0,0.7559999999999999,1665.0,32.0,0.524,0.413
2888,Existing Customer,44.0,M,4,Graduate,Unknown,$80K - $120K,Blue,34,4,3.0,2.0,26856.0,0,26856.0,0.581,4222.0,75.0,0.47100000000000003,0.0
2889,Existing Customer,38.0,M,1,Doctorate,Single,$80K - $120K,Silver,29,6,3.0,3.0,34516.0,1435,33081.0,1.13,4238.0,85.0,0.809,0.042
2891,Existing Customer,44.0,F,4,Uneducated,Married,Less than $40K,Blue,26,4,1.0,2.0,4726.0,1551,3175.0,0.544,3658.0,70.0,0.628,0.32799999999999996
2892,Attrited Customer,41.0,M,5,Unknown,Single,$60K - $80K,Gold,32,2,3.0,4.0,34516.0,2517,31999.0,0.465,1727.0,35.0,0.45799999999999996,0.073
2893,Existing Customer,45.0,F,2,Unknown,Single,Less than $40K,Blue,41,6,2.0,2.0,5596.0,0,5596.0,0.833,3212.0,64.0,0.42200000000000004,0.0
2894,Existing Customer,37.0,M,0,Post-Graduate,Single,$80K - $120K,Blue,27,5,2.0,3.0,15326.0,0,15326.0,1.159,2990.0,55.0,0.9640000000000001,0.0
2895,Existing Customer,51.0,M,1,Unknown,Single,$80K - $120K,Blue,38,3,1.0,4.0,11373.0,1319,10054.0,0.693,1976.0,35.0,0.75,0.11599999999999999
2896,Existing Customer,65.0,M,0,Uneducated,Single,Less than $40K,Blue,54,3,1.0,5.0,2644.0,1691,953.0,0.755,3495.0,70.0,0.628,0.64
2897,Existing Customer,37.0,F,1,Graduate,Single,$40K - $60K,Blue,27,6,1.0,2.0,2673.0,2517,156.0,0.7140000000000001,3052.0,63.0,0.75,0.9420000000000001
2898,Existing Customer,54.0,M,4,Unknown,Married,$60K - $80K,Blue,36,3,4.0,2.0,7477.0,1752,5725.0,0.294,1543.0,34.0,0.172,0.23399999999999999
2899,Existing Customer,46.0,M,4,Graduate,Married,$80K - $120K,Blue,33,5,1.0,3.0,16227.0,917,15310.0,0.479,4314.0,67.0,0.634,0.057
2900,Existing Customer,41.0,M,2,Unknown,Single,$80K - $120K,Blue,34,3,3.0,1.0,19110.0,2449,16661.0,1.0,4478.0,76.0,0.727,0.128
2901,Existing Customer,49.0,M,2,Unknown,Single,$40K - $60K,Blue,37,5,1.0,3.0,2993.0,1265,1728.0,0.579,4089.0,72.0,0.674,0.423
2902,Existing Customer,51.0,M,2,Graduate,Married,$80K - $120K,Blue,40,3,2.0,4.0,3290.0,2461,829.0,0.797,3591.0,80.0,0.7390000000000001,0.748
2903,Existing Customer,50.0,F,3,High School,Single,Less than $40K,Silver,39,4,3.0,4.0,11176.0,2422,8754.0,1.003,2682.0,64.0,0.6409999999999999,0.217
2904,Existing Customer,48.0,F,4,High School,Married,Unknown,Blue,36,4,1.0,2.0,21416.0,0,21416.0,0.7020000000000001,4221.0,75.0,0.9229999999999999,0.0
2905,Existing Customer,53.0,M,2,Graduate,Married,$80K - $120K,Blue,41,3,2.0,5.0,2492.0,1668,824.0,0.6509999999999999,1606.0,32.0,0.882,0.669
2906,Existing Customer,54.0,M,2,Post-Graduate,Single,$60K - $80K,Blue,38,3,3.0,5.0,14265.0,1878,12387.0,0.847,3982.0,58.0,0.871,0.132
2907,Existing Customer,46.0,F,4,Unknown,Single,$40K - $60K,Silver,35,6,3.0,2.0,16985.0,968,16017.0,0.455,2961.0,56.0,0.647,0.057
2908,Existing Customer,47.0,F,4,High School,Single,Less than $40K,Blue,38,4,1.0,4.0,7469.0,1899,5570.0,0.9990000000000001,3150.0,70.0,0.489,0.254
2909,Existing Customer,52.0,F,4,Graduate,Married,Less than $40K,Blue,36,6,1.0,2.0,4592.0,2517,2075.0,0.5720000000000001,1470.0,33.0,0.737,0.5479999999999999
2910,Existing Customer,43.0,F,4,Graduate,Single,Less than $40K,Blue,32,6,3.0,4.0,4341.0,0,4341.0,0.613,3825.0,63.0,0.537,0.0
2911,Existing Customer,41.0,M,4,Uneducated,Divorced,$80K - $120K,Gold,36,6,2.0,2.0,34516.0,0,34516.0,0.742,4077.0,67.0,0.763,0.0
2912,Existing Customer,34.0,M,3,Post-Graduate,Unknown,$60K - $80K,Silver,23,4,3.0,0.0,27710.0,0,27710.0,0.777,4014.0,73.0,0.659,0.0
2913,Existing Customer,33.0,F,1,College,Single,Less than $40K,Silver,17,4,3.0,2.0,13431.0,1583,11848.0,0.621,2338.0,71.0,0.69,0.11800000000000001
2914,Existing Customer,49.0,M,1,High School,Unknown,$60K - $80K,Blue,36,6,3.0,4.0,2645.0,1499,1146.0,0.67,4251.0,69.0,0.5329999999999999,0.5670000000000001
2915,Existing Customer,44.0,M,3,Doctorate,Single,$120K +,Blue,35,4,1.0,5.0,14028.0,1435,12593.0,0.57,3683.0,73.0,0.738,0.102
2916,Existing Customer,36.0,M,1,Uneducated,Divorced,$80K - $120K,Blue,28,4,1.0,3.0,34516.0,774,33742.0,0.9890000000000001,3030.0,74.0,0.805,0.022000000000000002
2917,Existing Customer,37.0,M,3,High School,Single,$80K - $120K,Blue,31,4,2.0,4.0,5699.0,1006,4693.0,0.7340000000000001,2835.0,57.0,0.9,0.177
2918,Existing Customer,46.0,M,3,Unknown,Divorced,$120K +,Blue,34,5,2.0,4.0,16284.0,0,16284.0,0.889,3018.0,75.0,0.5,0.0
2919,Existing Customer,65.0,M,0,Uneducated,Single,Less than $40K,Blue,56,4,2.0,2.0,3226.0,2073,1153.0,1.035,3250.0,70.0,0.591,0.643
2920,Existing Customer,52.0,M,2,College,Married,$80K - $120K,Blue,36,6,3.0,4.0,2803.0,778,2025.0,0.55,3142.0,64.0,0.561,0.278
2921,Existing Customer,50.0,M,1,Uneducated,Married,$120K +,Blue,30,6,2.0,5.0,34516.0,2010,32506.0,0.594,2776.0,59.0,0.735,0.057999999999999996
2922,Existing Customer,59.0,M,1,Uneducated,Single,Less than $40K,Blue,53,5,5.0,4.0,2192.0,1569,623.0,0.706,4010.0,79.0,0.7170000000000001,0.716
2924,Attrited Customer,40.0,M,3,Graduate,Unknown,$60K - $80K,Blue,30,4,2.0,3.0,6391.0,0,6391.0,0.632,2323.0,44.0,0.419,0.0
2925,Existing Customer,40.0,F,3,High School,Married,Less than $40K,Blue,31,5,2.0,4.0,4736.0,945,3791.0,0.835,3927.0,73.0,0.659,0.2
2926,Existing Customer,59.0,M,1,Doctorate,Single,$60K - $80K,Blue,49,5,2.0,4.0,9944.0,1606,8338.0,0.62,3159.0,69.0,0.568,0.162
2927,Existing Customer,52.0,F,3,College,Married,$40K - $60K,Blue,47,6,3.0,3.0,4717.0,0,4717.0,0.563,2349.0,66.0,0.34700000000000003,0.0
2928,Existing Customer,43.0,F,4,Unknown,Unknown,Unknown,Blue,34,5,3.0,3.0,12778.0,1528,11250.0,0.777,3337.0,69.0,0.769,0.12
2929,Existing Customer,48.0,M,3,Graduate,Married,$60K - $80K,Blue,38,5,2.0,3.0,16920.0,2157,14763.0,0.629,3275.0,60.0,0.5,0.127
2930,Existing Customer,45.0,F,2,Graduate,Unknown,Less than $40K,Blue,35,6,3.0,3.0,3240.0,2517,723.0,0.636,1904.0,41.0,0.519,0.777
2931,Existing Customer,30.0,F,0,Graduate,Divorced,Less than $40K,Blue,17,4,1.0,3.0,4704.0,0,4704.0,1.177,3294.0,87.0,0.8909999999999999,0.0
2932,Existing Customer,41.0,F,5,High School,Single,$40K - $60K,Blue,32,6,1.0,2.0,14987.0,1425,13562.0,0.8,4470.0,83.0,0.8440000000000001,0.095
2933,Existing Customer,51.0,M,1,Unknown,Single,$80K - $120K,Blue,34,4,3.0,3.0,3554.0,1563,1991.0,0.893,3640.0,59.0,0.735,0.44
2934,Existing Customer,46.0,M,3,Graduate,Married,$120K +,Blue,42,3,3.0,4.0,9227.0,938,8289.0,0.735,3948.0,74.0,0.721,0.102
2935,Existing Customer,50.0,M,1,Unknown,Married,$120K +,Blue,40,3,3.0,2.0,7522.0,1057,6465.0,1.197,2533.0,62.0,1.138,0.141
2936,Existing Customer,31.0,F,0,College,Married,Less than $40K,Blue,21,5,2.0,2.0,1677.0,0,1677.0,1.369,3059.0,50.0,0.613,0.0
2937,Existing Customer,48.0,M,1,High School,Single,$60K - $80K,Blue,40,6,2.0,2.0,2319.0,1630,689.0,0.846,3739.0,68.0,0.659,0.703
2938,Existing Customer,39.0,F,1,Unknown,Married,Less than $40K,Blue,29,6,2.0,5.0,2722.0,1592,1130.0,1.319,3205.0,49.0,0.633,0.585
2939,Existing Customer,50.0,F,2,Unknown,Married,Less than $40K,Blue,39,3,3.0,2.0,2046.0,0,2046.0,0.9359999999999999,3446.0,71.0,0.578,0.0
2940,Existing Customer,47.0,M,4,Unknown,Single,$80K - $120K,Silver,37,5,2.0,4.0,34516.0,0,34516.0,1.06,2851.0,80.0,0.7390000000000001,0.0
2941,Existing Customer,53.0,M,3,High School,Single,$80K - $120K,Blue,42,6,3.0,3.0,18531.0,1548,16983.0,0.833,2484.0,52.0,0.857,0.084
2942,Existing Customer,45.0,M,4,Graduate,Married,$40K - $60K,Blue,36,5,3.0,4.0,4112.0,0,4112.0,0.777,2949.0,54.0,1.25,0.0
2943,Existing Customer,46.0,M,4,Graduate,Single,$120K +,Blue,34,4,1.0,2.0,34516.0,0,34516.0,0.991,4143.0,68.0,0.659,0.0
2944,Existing Customer,34.0,M,2,Graduate,Single,$80K - $120K,Silver,22,4,3.0,3.0,34516.0,1263,33253.0,0.603,2759.0,65.0,0.8059999999999999,0.037000000000000005
2945,Existing Customer,39.0,M,1,Uneducated,Married,Less than $40K,Blue,28,3,3.0,4.0,4683.0,2514,2169.0,0.58,2010.0,45.0,0.731,0.537
2946,Existing Customer,62.0,M,0,Unknown,Married,$40K - $60K,Blue,48,4,1.0,2.0,1438.3,0,1438.3,0.425,1406.0,27.0,0.5,0.0
2947,Existing Customer,53.0,F,3,Uneducated,Married,Less than $40K,Blue,36,4,3.0,2.0,4224.0,2417,1807.0,0.522,1458.0,29.0,1.071,0.5720000000000001
2948,Existing Customer,51.0,M,3,Graduate,Married,$60K - $80K,Blue,32,3,1.0,4.0,7133.0,0,7133.0,0.612,2689.0,62.0,0.59,0.0
2949,Existing Customer,34.0,F,1,High School,Single,Unknown,Blue,22,6,1.0,0.0,10253.0,1857,8396.0,1.193,3042.0,66.0,0.941,0.18100000000000002
2950,Existing Customer,44.0,F,2,Doctorate,Single,$40K - $60K,Blue,25,4,3.0,2.0,4210.0,0,4210.0,1.224,4248.0,65.0,0.857,0.0
2951,Existing Customer,49.0,M,3,High School,Single,$120K +,Blue,42,5,3.0,2.0,12630.0,1822,10808.0,0.9470000000000001,4084.0,66.0,0.5710000000000001,0.14400000000000002
2952,Existing Customer,26.0,M,0,Graduate,Divorced,Unknown,Blue,36,6,1.0,3.0,21084.0,2517,18567.0,0.763,2309.0,71.0,0.5429999999999999,0.11900000000000001
2953,Attrited Customer,56.0,F,2,College,Single,Less than $40K,Blue,52,3,5.0,1.0,3639.0,2178,1461.0,0.451,1865.0,42.0,0.5,0.599
2954,Existing Customer,52.0,M,1,High School,Divorced,$120K +,Blue,36,4,3.0,5.0,31945.0,1591,30354.0,0.711,3650.0,62.0,0.6759999999999999,0.05
2956,Existing Customer,65.0,F,1,Unknown,Single,Less than $40K,Blue,54,4,2.0,2.0,2209.0,0,2209.0,1.2990000000000002,3292.0,52.0,0.857,0.0
2957,Existing Customer,35.0,M,1,College,Single,$60K - $80K,Blue,26,3,2.0,3.0,23447.0,1515,21932.0,0.622,2834.0,77.0,0.638,0.065
2958,Existing Customer,48.0,M,3,Graduate,Single,$80K - $120K,Blue,30,4,2.0,3.0,4180.0,688,3492.0,0.747,3750.0,76.0,0.727,0.165
2959,Existing Customer,53.0,F,1,Graduate,Single,$40K - $60K,Blue,39,3,3.0,2.0,4930.0,2227,2703.0,0.8009999999999999,4224.0,77.0,0.7909999999999999,0.452
2960,Existing Customer,38.0,M,3,Uneducated,Married,$60K - $80K,Blue,18,6,3.0,4.0,3417.0,1749,1668.0,0.57,2068.0,34.0,0.619,0.512
2961,Existing Customer,50.0,F,1,College,Single,Less than $40K,Blue,45,4,2.0,4.0,4785.0,1965,2820.0,0.8,3651.0,59.0,0.5529999999999999,0.41100000000000003
2962,Existing Customer,46.0,M,3,Uneducated,Married,Less than $40K,Silver,33,5,2.0,2.0,12685.0,0,12685.0,0.674,4454.0,74.0,0.574,0.0
2963,Existing Customer,48.0,M,3,Graduate,Single,$80K - $120K,Blue,35,3,3.0,3.0,21374.0,0,21374.0,0.631,4100.0,79.0,0.6809999999999999,0.0
2964,Existing Customer,36.0,M,2,Graduate,Married,$60K - $80K,Blue,28,4,3.0,2.0,1911.0,1217,694.0,0.363,1965.0,49.0,0.256,0.637
2965,Existing Customer,41.0,F,2,Post-Graduate,Single,Less than $40K,Blue,35,6,3.0,2.0,8666.0,0,8666.0,0.682,3593.0,71.0,0.578,0.0
2966,Existing Customer,60.0,M,0,Unknown,Married,$60K - $80K,Blue,54,4,1.0,0.0,2759.0,2501,258.0,0.505,1650.0,34.0,0.7,0.9059999999999999
2967,Attrited Customer,49.0,F,2,Unknown,Single,Unknown,Blue,41,5,3.0,4.0,5984.0,0,5984.0,0.551,1838.0,42.0,0.556,0.0
2968,Existing Customer,45.0,F,4,High School,Unknown,Unknown,Blue,36,6,3.0,3.0,23000.0,1097,21903.0,1.095,3886.0,70.0,0.667,0.048
2969,Existing Customer,36.0,M,2,College,Single,$60K - $80K,Blue,25,5,3.0,2.0,1438.3,0,1438.3,0.579,2882.0,68.0,0.619,0.0
2970,Existing Customer,49.0,M,3,Graduate,Married,Less than $40K,Blue,36,3,3.0,5.0,2976.0,1817,1159.0,0.7390000000000001,3332.0,60.0,0.667,0.611
2971,Existing Customer,43.0,M,3,High School,Single,$120K +,Blue,36,3,1.0,3.0,34516.0,0,34516.0,0.852,1996.0,48.0,0.5479999999999999,0.0
2972,Existing Customer,58.0,M,1,High School,Married,$60K - $80K,Blue,53,5,2.0,5.0,1438.3,0,1438.3,0.425,1539.0,40.0,0.6,0.0
2973,Existing Customer,46.0,M,0,High School,Divorced,$80K - $120K,Blue,36,3,1.0,4.0,16099.0,0,16099.0,0.562,3656.0,88.0,0.76,0.0
2974,Existing Customer,50.0,M,2,Graduate,Single,$80K - $120K,Blue,36,4,2.0,1.0,19595.0,1187,18408.0,0.875,3811.0,62.0,0.8240000000000001,0.061
2975,Existing Customer,43.0,M,4,Graduate,Single,$60K - $80K,Blue,25,3,2.0,4.0,13193.0,1749,11444.0,0.6709999999999999,4071.0,64.0,0.73,0.133
2976,Existing Customer,57.0,F,3,College,Single,$40K - $60K,Blue,36,3,1.0,3.0,8184.0,1508,6676.0,0.789,4134.0,71.0,0.821,0.184
2978,Existing Customer,48.0,F,2,Unknown,Married,Less than $40K,Blue,37,4,2.0,3.0,5758.0,0,5758.0,0.433,4422.0,76.0,0.40700000000000003,0.0
2979,Existing Customer,51.0,M,2,Doctorate,Single,$120K +,Blue,36,4,2.0,5.0,25873.0,582,25291.0,0.769,3920.0,84.0,0.647,0.022000000000000002
2980,Existing Customer,46.0,M,2,Unknown,Divorced,$60K - $80K,Blue,37,6,1.0,1.0,2695.0,1657,1038.0,0.813,4068.0,53.0,0.963,0.615
2981,Existing Customer,46.0,M,3,College,Married,$80K - $120K,Blue,32,4,2.0,5.0,20860.0,1496,19364.0,0.816,3435.0,56.0,0.6970000000000001,0.07200000000000001
2983,Existing Customer,52.0,M,3,College,Married,$80K - $120K,Blue,33,3,3.0,4.0,27751.0,1018,26733.0,0.426,1427.0,25.0,0.667,0.037000000000000005
2984,Existing Customer,48.0,M,5,Graduate,Married,$80K - $120K,Blue,38,6,2.0,2.0,34516.0,657,33859.0,0.723,3661.0,71.0,0.868,0.019
2985,Existing Customer,47.0,M,3,Unknown,Single,$80K - $120K,Blue,37,3,1.0,5.0,24580.0,2517,22063.0,0.509,3069.0,62.0,0.7709999999999999,0.102
2986,Attrited Customer,49.0,M,2,High School,Married,$80K - $120K,Blue,38,3,2.0,4.0,29893.0,0,29893.0,0.519,2063.0,48.0,0.846,0.0
2987,Existing Customer,43.0,M,1,Unknown,Married,$80K - $120K,Blue,33,5,1.0,5.0,21165.0,735,20430.0,0.624,3343.0,60.0,0.667,0.035
2988,Existing Customer,47.0,F,4,Uneducated,Single,$40K - $60K,Blue,33,3,2.0,1.0,9148.0,561,8587.0,0.774,3451.0,59.0,0.9670000000000001,0.061
2989,Existing Customer,55.0,M,2,Unknown,Married,$80K - $120K,Blue,46,4,1.0,1.0,10979.0,1889,9090.0,0.475,1425.0,33.0,0.5,0.172
2990,Existing Customer,41.0,F,5,Post-Graduate,Married,Less than $40K,Blue,33,3,1.0,2.0,6519.0,851,5668.0,0.679,3088.0,65.0,0.711,0.131
2991,Existing Customer,44.0,M,5,High School,Married,$80K - $120K,Blue,36,3,2.0,2.0,2509.0,1464,1045.0,1.25,3166.0,72.0,0.946,0.583
2992,Existing Customer,35.0,F,2,Uneducated,Married,Less than $40K,Blue,36,3,1.0,3.0,2664.0,0,2664.0,1.071,3135.0,59.0,0.903,0.0
2993,Existing Customer,40.0,F,2,Unknown,Married,Unknown,Blue,28,5,5.0,2.0,14999.0,1123,13876.0,0.539,3441.0,69.0,0.46799999999999997,0.075
2994,Existing Customer,32.0,F,1,High School,Single,Less than $40K,Silver,13,4,1.0,2.0,10332.0,948,9384.0,0.843,2914.0,67.0,0.763,0.092
2995,Existing Customer,50.0,M,4,Unknown,Married,$60K - $80K,Blue,36,5,1.0,4.0,10226.0,1638,8588.0,1.053,3321.0,57.0,1.036,0.16
2996,Attrited Customer,38.0,M,3,College,Single,$60K - $80K,Blue,34,6,3.0,4.0,12050.0,1821,10229.0,0.63,2381.0,40.0,0.48100000000000004,0.151
2997,Existing Customer,39.0,M,2,High School,Single,$120K +,Blue,22,5,2.0,2.0,26124.0,0,26124.0,0.735,4199.0,92.0,0.586,0.0
2998,Existing Customer,48.0,F,3,Graduate,Divorced,Less than $40K,Blue,31,6,2.0,2.0,9816.0,0,9816.0,0.6729999999999999,3489.0,81.0,0.528,0.0
2999,Existing Customer,52.0,F,2,College,Single,Less than $40K,Blue,40,4,3.0,3.0,2783.0,2379,404.0,0.912,3897.0,74.0,1.0,0.855
3000,Existing Customer,49.0,M,3,Graduate,Unknown,$60K - $80K,Blue,36,5,2.0,3.0,15942.0,0,15942.0,0.723,1742.0,41.0,0.32299999999999995,0.0
3001,Existing Customer,46.0,F,3,Graduate,Single,Less than $40K,Silver,39,4,3.0,2.0,12222.0,1260,10962.0,1.138,3418.0,78.0,0.733,0.10300000000000001
3002,Existing Customer,38.0,F,4,Doctorate,Married,Less than $40K,Blue,26,4,2.0,4.0,4002.0,1402,2600.0,0.579,2114.0,53.0,0.514,0.35
3003,Existing Customer,60.0,M,0,College,Single,$80K - $120K,Silver,53,6,3.0,2.0,34516.0,1388,33128.0,0.7909999999999999,3261.0,64.0,0.684,0.04
3004,Existing Customer,48.0,M,2,High School,Single,$80K - $120K,Blue,36,3,2.0,4.0,10227.0,1695,8532.0,0.875,3577.0,82.0,0.7829999999999999,0.166
3005,Existing Customer,45.0,F,2,Graduate,Single,Less than $40K,Blue,34,3,3.0,1.0,4265.0,1622,2643.0,0.708,3244.0,62.0,0.879,0.38
3006,Existing Customer,47.0,M,2,Unknown,Unknown,$60K - $80K,Blue,36,3,2.0,2.0,13867.0,0,13867.0,0.659,4297.0,68.0,0.7440000000000001,0.0
3007,Existing Customer,43.0,M,2,Doctorate,Divorced,$40K - $60K,Blue,34,4,1.0,2.0,2243.0,0,2243.0,0.6970000000000001,4023.0,63.0,0.75,0.0
3008,Existing Customer,41.0,F,2,Graduate,Married,$40K - $60K,Blue,36,6,1.0,3.0,11239.0,1375,9864.0,0.94,3978.0,89.0,0.78,0.122
3009,Existing Customer,53.0,M,2,Unknown,Single,$60K - $80K,Blue,45,5,1.0,2.0,22558.0,818,21740.0,0.987,3855.0,70.0,0.591,0.036000000000000004
3010,Existing Customer,50.0,M,5,Post-Graduate,Married,$120K +,Silver,36,5,2.0,4.0,34516.0,891,33625.0,0.9259999999999999,2687.0,64.0,0.778,0.026000000000000002
3011,Existing Customer,56.0,M,2,Graduate,Married,$80K - $120K,Blue,36,4,2.0,3.0,23510.0,1049,22461.0,0.43799999999999994,1661.0,35.0,0.29600000000000004,0.045
